tier,intervention,well,site,boe_d,decl_pct_yr,wc_pct,iot_inspec_pct,temp_f,press_psi,vib_p95,profit_musd_yr,margin_pct,cost_per_boe,n_incidents,sev_total,n_flare_breach,n_pw_release,n_hc_spill
1 - INVEST NOW (production ROI),offset/infill drilling,W0028,S03,946.0,14.9,31.7,90.0,183.0,6311.0,3.59,20.5,73.9,16.0,0,0,0,0,0
1 - INVEST NOW (production ROI),offset/infill drilling,W0039,S03,867.0,14.9,31.8,91.0,198.0,6307.0,3.73,18.8,73.9,16.0,0,0,0,0,0
1 - INVEST NOW (production ROI),offset/infill drilling,W0007,S03,786.0,16.6,31.7,89.0,203.0,6510.0,3.56,17.1,73.9,16.0,0,0,0,0,0
1 - INVEST NOW (production ROI),offset/infill drilling,W0006,S03,749.0,14.5,31.7,89.0,195.0,6385.0,3.67,16.2,73.9,16.0,1,2,0,0,0
1 - INVEST NOW (production ROI),offset/infill drilling,W0014,S03,719.0,16.0,31.7,88.0,216.0,6603.0,3.71,15.7,73.9,16.0,1,2,0,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0023,S08,512.0,19.6,49.4,90.0,209.0,6460.0,3.77,8.1,53.4,31.4,1,1,0,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0035,S01,538.0,19.3,55.2,90.0,217.0,6615.0,3.61,8.0,49.4,34.5,1,2,1,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0005,S08,496.0,17.8,49.4,89.0,198.0,6443.0,3.69,7.9,53.5,31.4,2,4,1,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0030,S01,496.0,19.2,55.3,91.0,208.0,6421.0,3.67,7.3,49.4,34.5,1,3,0,1,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0021,S08,456.0,18.0,49.4,89.0,216.0,6670.0,3.63,7.2,53.5,31.4,3,12,0,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0026,S01,473.0,20.7,55.3,90.0,228.0,6610.0,3.66,7.0,49.4,34.5,4,6,1,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0034,S01,426.0,21.5,55.2,91.0,200.0,6415.0,3.65,6.3,49.4,34.5,2,4,0,0,0
1 - INVEST NOW (production ROI),artificial lift + water shutoff,W0022,S01,415.0,18.5,55.2,91.0,198.0,6348.0,3.68,6.1,49.4,34.5,0,0,0,0,0
2 - INVEST + HSE PLAN,choke/compression/ESP workover; offset/infill drilling; flare-gas recovery + compressor reliability; tank automation / level control + ESD,W0020,S05,1027.0,11.8,36.8,77.0,287.0,7352.0,4.37,20.1,67.3,21.0,14,35,3,0,2
2 - INVEST + HSE PLAN,artificial lift + water shutoff; tank automation / level control + ESD,W0027,S08,416.0,19.3,49.4,89.0,205.0,6387.0,3.8,6.6,53.5,31.4,3,15,0,0,1
2 - INVEST + HSE PLAN,flare-gas recovery + compressor reliability,W0033,S07,271.0,29.0,73.8,87.0,241.0,6724.0,3.72,2.7,31.9,47.5,5,16,2,0,1
3 - MARGINAL / COMPLIANCE-ONLY,flare-gas recovery + compressor reliability,W0024,S06,84.0,44.8,96.9,89.0,209.0,6506.0,3.76,-0.8,-28.6,92.5,7,18,1,0,0
3 - MARGINAL / COMPLIANCE-ONLY,water-handling workover + secondary containment; tank automation / level control + ESD,W0015,S06,88.0,44.0,96.9,90.0,212.0,6402.0,3.67,-0.9,-28.6,92.5,8,17,0,2,1
4 - BLOCKED BY HSE (plug-vs-fix first),choke/compression/ESP workover; offset/infill drilling; tank automation / level control + ESD,W0019,S05,1072.0,13.0,36.7,76.0,284.0,7367.0,4.75,21.0,67.4,20.9,9,34,0,0,2
4 - BLOCKED BY HSE (plug-vs-fix first),choke/compression/ESP workover; offset/infill drilling; flare-gas recovery + compressor reliability,W0037,S05,1065.0,11.9,36.8,73.0,292.0,7426.0,4.57,20.9,67.4,20.9,19,54,5,1,1
4 - BLOCKED BY HSE (plug-vs-fix first),choke/compression/ESP workover; offset/infill drilling; flare-gas recovery + compressor reliability,W0010,S05,1011.0,12.2,36.8,79.0,283.0,7289.0,4.52,20.0,67.4,20.9,13,53,2,0,1
4 - BLOCKED BY HSE (plug-vs-fix first),choke/compression/ESP workover; offset/infill drilling,W0017,S05,820.0,12.8,36.8,79.0,285.0,7226.0,4.55,16.0,67.3,20.9,11,45,0,1,1
4 - BLOCKED BY HSE (plug-vs-fix first),flare-gas recovery + compressor reliability; water-handling workover + secondary containment,W0001,S04,44.0,53.7,97.0,90.0,203.0,6443.0,3.58,-1.5,-96.1,142.3,14,40,2,4,1
